Value,Count,Numeric
"portland, texas, united states","13,600",13600
"colonia, new jersey, united states","13,591",13591
"kittanning, pennsylvania, united states","13,591",13591
"riverbank, california, united states","13,588",13588
"concord, ontario, canada","13,587",13587
"powhatan, virginia, united states","13,576",13576
"wickliffe, ohio, united states","13,575",13575
"petoskey, michigan, united states","13,569",13569
"mormugao, goa, india","13,564",13564
"breaux bridge, louisiana, united states","13,557",13557
"monticello, indiana, united states","13,545",13545
"zachary, louisiana, united states","13,544",13544
"south el monte, california, united states","13,540",13540
"mechanicsville, maryland, united states","13,538",13538
"brossard, quebec, canada","13,534",13534
"wood dale, illinois, united states","13,530",13530
"boaz, alabama, united states","13,526",13526
"newtown, connecticut, united states","13,526",13526
"catalão, goias, brazil","13,524",13524
"franklin, louisiana, united states","13,524",13524
"hope, arkansas, united states","13,515",13515
"harrodsburg, kentucky, united states","13,512",13512
"highlands ranch, colorado, united states","13,510",13510
"canyon lake, texas, united states","13,509",13509
"franco da rocha, sao paulo, brazil","13,508",13508
"saugerties, new york, united states","13,497",13497
"nanded, maharashtra, india","13,495",13495
"smithfield, virginia, united states","13,482",13482
"union city, tennessee, united states","13,482",13482
"powell, tennessee, united states","13,480",13480
"cambria heights, new york, united states","13,478",13478
"de soto, missouri, united states","13,478",13478
"hutchinson, minnesota, united states","13,477",13477
"seymour, tennessee, united states","13,477",13477
"varzea paulista, sao paulo, brazil","13,476",13476
"chanhassen, minnesota, united states","13,473",13473
"marinette, wisconsin, united states","13,473",13473
"healdsburg, california, united states","13,468",13468
"alachua, florida, united states","13,461",13461
"mahesana, gujarat, india","13,458",13458
"granada, andalusia, spain","13,456",13456
"washington, utah, united states","13,456",13456
"freeport, texas, united states","13,449",13449
"lampasas, texas, united states","13,449",13449
"breda, north brabant, netherlands","13,437",13437
"mount joy, pennsylvania, united states","13,435",13435
"campbell, kentucky, united states","13,421",13421
"maryville, missouri, united states","13,419",13419
"bellaire, texas, united states","13,412",13412
"plainsboro, new jersey, united states","13,412",13412
"bhilai, chhattisgarh, india","13,408",13408
"kaufman, texas, united states","13,401",13401
"rancho mirage, california, united states","13,400",13400
"hilton, new york, united states","13,398",13398
"escanaba, michigan, united states","13,397",13397
"ladson, south carolina, united states","13,383",13383
"pathankot, punjab, india","13,377",13377
"ellwood city, pennsylvania, united states","13,363",13363
"borger, texas, united states","13,362",13362
"vandalia, ohio, united states","13,360",13360
"norfolk, massachusetts, united states","13,359",13359
"amherst, new york, united states","13,354",13354
"mount pleasant, pennsylvania, united states","13,354",13354
"bonita, california, united states","13,350",13350
"ludington, michigan, united states","13,343",13343
"medford, new jersey, united states","13,338",13338
"hockessin, delaware, united states","13,337",13337
"manning, south carolina, united states","13,331",13331
"konstanz, baden-wurttemberg, germany","13,330",13330
"semmes, alabama, united states","13,330",13330
"east hampton, new york, united states","13,327",13327
"marion, arkansas, united states","13,325",13325
"harrison, new jersey, united states","13,320",13320
"rockmart, georgia, united states","13,317",13317
"mount sterling, kentucky, united states","13,316",13316
"payson, utah, united states","13,316",13316
"three rivers, michigan, united states","13,308",13308
"hernando, florida, united states","13,303",13303
"matanuska susitna, alaska, united states","13,299",13299
"milford, pennsylvania, united states","13,297",13297
"dalian, liaoning, china","13,294",13294
"astoria, oregon, united states","13,291",13291
"columbia, pennsylvania, united states","13,283",13283
"kew gardens, new york, united states","13,280",13280
"morehead city, north carolina, united states","13,271",13271
"florence, mississippi, united states","13,262",13262
"weatherford, oklahoma, united states","13,257",13257
"klang, selangor, malaysia","13,254",13254
"lindale, texas, united states","13,253",13253
"narragansett, rhode island, united states","13,252",13252
"nevada city, california, united states","13,244",13244
"mountain home, idaho, united states","13,238",13238
"jericho, new york, united states","13,237",13237
"whitewater, wisconsin, united states","13,235",13235
"dunkirk, new york, united states","13,232",13232
"ponchatoula, louisiana, united states","13,221",13221
"woodward, oklahoma, united states","13,220",13220
"lexington, tennessee, united states","13,213",13213
"auburn, indiana, united states","13,205",13205
"roosevelt, new york, united states","13,196",13196
"skovde, vastra gotaland, sweden","13,193",13193
"sullivan, missouri, united states","13,193",13193
"country club hills, illinois, united states","13,187",13187
"fredericksburg, texas, united states","13,183",13183
"rio grande city, texas, united states","13,183",13183
"pinehurst, north carolina, united states","13,179",13179
"bristow, virginia, united states","13,175",13175
"moorestown, new jersey, united states","13,172",13172
"hampton, new hampshire, united states","13,165",13165
"thomson, georgia, united states","13,165",13165
"mequon, wisconsin, united states","13,164",13164
"boyertown, pennsylvania, united states","13,154",13154
"cubatao, sao paulo, brazil","13,153",13153
"mexico, missouri, united states","13,145",13145
"vestal, new york, united states","13,145",13145
"kensington, maryland, united states","13,140",13140
"gaston, south carolina, united states","13,139",13139
"clark, new jersey, united states","13,137",13137
"elkhorn, wisconsin, united states","13,127",13127
"coronel fabriciano, minas gerais, brazil","13,123",13123
"broadview heights, ohio, united states","13,118",13118
"rockland, massachusetts, united states","13,117",13117
"islip, new york, united states","13,106",13106
"sunland, california, united states","13,105",13105
"verona, wisconsin, united states","13,101",13101
"forest, virginia, united states","13,098",13098
"morton, illinois, united states","13,092",13092
"radford, virginia, united states","13,092",13092
"watkinsville, georgia, united states","13,091",13091
"parbhani, maharashtra, india","13,078",13078
"lillington, north carolina, united states","13,077",13077
"talavera de la reina, castille-la mancha, spain","13,067",13067
"new carlisle, ohio, united states","13,064",13064
"larchmont, new york, united states","13,062",13062
"marana, arizona, united states","13,062",13062
"midwest city, oklahoma, united states","13,049",13049
"clewiston, florida, united states","13,044",13044
"dexter, missouri, united states","13,042",13042
"albany, california, united states","13,035",13035
"carrboro, north carolina, united states","13,035",13035
"south burlington, vermont, united states","13,033",13033
"granite falls, north carolina, united states","13,030",13030
"spearfish, south dakota, united states","13,027",13027
"auburn, massachusetts, united states","13,026",13026
"patterson, california, united states","13,025",13025
"kihei, hawaii, united states","13,022",13022
"montpelier, vermont, united states","13,021",13021
"ewing, new jersey, united states","13,012",13012
"københavn, capital region, denmark","13,007",13007
"lulea, norrbottens lan, sweden","13,006",13006
"nyack, new york, united states","12,999",12999
"ibirite, minas gerais, brazil","12,997",12997
"kent, kent, united kingdom","12,997",12997
"forsyth, georgia, united states","12,984",12984
"fairfield, iowa, united states","12,981",12981
"eaton, ohio, united states","12,974",12974
"farmingville, new york, united states","12,974",12974
"colombo, western, sri lanka","12,972",12972
"homer glen, illinois, united states","12,970",12970
"prineville, oregon, united states","12,967",12967
"south richmond hill, new york, united states","12,957",12957
"tiruvannamalai, tamil nadu, india","12,956",12956
"brawley, california, united states","12,947",12947
"concord, massachusetts, united states","12,945",12945
"winfield, kansas, united states","12,937",12937
"cicero, new york, united states","12,916",12916
"norton, massachusetts, united states","12,916",12916
"campos, rio de janeiro, brazil","12,912",12912
"galloway, ohio, united states","12,908",12908
"hampstead, north carolina, united states","12,905",12905
"hazel crest, illinois, united states","12,901",12901
"dumont, new jersey, united states","12,900",12900
"watervliet, new york, united states","12,898",12898
"jambi, jambi, indonesia","12,897",12897
"hollidaysburg, pennsylvania, united states","12,896",12896
"red wing, minnesota, united states","12,896",12896
"dixon, california, united states","12,885",12885
"karlsruhe, baden-wurttemberg, germany","12,885",12885
"bennington, vermont, united states","12,870",12870
"southport, north carolina, united states","12,869",12869
"klerksdorp, north-west, south africa","12,862",12862
"scotts valley, california, united states","12,861",12861
"indialantic, florida, united states","12,860",12860
"show low, arizona, united states","12,860",12860
"bryant, arkansas, united states","12,857",12857
"clayton, georgia, united states","12,851",12851
"wapakoneta, ohio, united states","12,851",12851
"arab, alabama, united states","12,848",12848
"jhansi, uttar pradesh, india","12,842",12842
"miami, oklahoma, united states","12,825",12825
"acre, northern district, israel","12,817",12817
"carpinteria, california, united states","12,808",12808
"chapin, south carolina, united states","12,807",12807
"chilliwack, british columbia, canada","12,794",12794
"enola, pennsylvania, united states","12,788",12788
"taylorville, illinois, united states","12,787",12787
"wolcott, connecticut, united states","12,783",12783
"loxahatchee, florida, united states","12,782",12782
"tiverton, rhode island, united states","12,781",12781
"joshua, texas, united states","12,770",12770
"hubbard, ohio, united states","12,767",12767
"plymouth, minnesota, united states","12,767",12767
"rogersville, tennessee, united states","12,765",12765
"fergus falls, minnesota, united states","12,762",12762
"collinsville, oklahoma, united states","12,761",12761
"hastings, michigan, united states","12,759",12759
"los alamos, new mexico, united states","12,755",12755
"silsbee, texas, united states","12,755",12755
"pulaski, tennessee, united states","12,751",12751
"commerce, georgia, united states","12,749",12749
"bay minette, alabama, united states","12,744",12744
"jenks, oklahoma, united states","12,744",12744
"sabadell, catalonia, spain","12,744",12744
"ramsey, minnesota, united states","12,738",12738
"alamosa, colorado, united states","12,732",12732
"american canyon, california, united states","12,732",12732
"marshall, minnesota, united states","12,723",12723
"bolivar, missouri, united states","12,720",12720
"leeuwarden, friesland, netherlands","12,709",12709
"mauldin, south carolina, united states","12,708",12708
"king, north carolina, united states","12,707",12707
"la grange, kentucky, united states","12,703",12703
"ashland city, tennessee, united states","12,696",12696
"metuchen, new jersey, united states","12,694",12694
"belen, new mexico, united states","12,678",12678
"fairview heights, illinois, united states","12,667",12667
"odessa, florida, united states","12,661",12661
"bandar lampung, lampung, indonesia","12,657",12657
"bonn, nordrhein-westfalen, germany","12,655",12655
"lancashire, lancashire, united kingdom","12,653",12653
"san sebastian, gipuzkoa, spain","12,650",12650
"south saint paul, minnesota, united states","12,648",12648
"swedesboro, new jersey, united states","12,648",12648
"germantown, wisconsin, united states","12,647",12647
"laguna woods, california, united states","12,646",12646
"hilversum, north holland, netherlands","12,639",12639
"south milwaukee, wisconsin, united states","12,637",12637
"van wert, ohio, united states","12,636",12636
"delavan, wisconsin, united states","12,635",12635
"gulf shores, alabama, united states","12,632",12632
"burton, michigan, united states","12,630",12630
"east falmouth, massachusetts, united states","12,623",12623
"bexar, texas, united states","12,616",12616
"crossett, arkansas, united states","12,613",12613
"greencastle, pennsylvania, united states","12,610",12610
"mmabatho, north-west, south africa","12,610",12610
"easthampton, massachusetts, united states","12,605",12605
"pryor, oklahoma, united states","12,601",12601
"sausalito, california, united states","12,599",12599
"high ridge, missouri, united states","12,594",12594
"brattleboro, vermont, united states","12,593",12593
"charles town, west virginia, united states","12,593",12593
"sterling, colorado, united states","12,593",12593
"maple ridge, british columbia, canada","12,588",12588
"canton, illinois, united states","12,581",12581
"sun valley, nevada, united states","12,580",12580
"uvalde, texas, united states","12,574",12574
"loudon, tennessee, united states","12,561",12561
"barinas, barinas, venezuela","12,558",12558
"republic, missouri, united states","12,557",12557
"sault ste. marie, ontario, canada","12,549",12549
"cedar springs, michigan, united states","12,545",12545
"avenel, new jersey, united states","12,541",12541
"solana beach, california, united states","12,541",12541
"brecksville, ohio, united states","12,538",12538
"buckhannon, west virginia, united states","12,537",12537
"blaine, washington, united states","12,532",12532
"florham park, new jersey, united states","12,530",12530
"sachse, texas, united states","12,527",12527
"saddle brook, new jersey, united states","12,519",12519
"gorizia, friuli venezia giulia, italy","12,517",12517
"muskego, wisconsin, united states","12,514",12514
"sondrio, lombardia, italy","12,513",12513
"forest park, illinois, united states","12,512",12512
"marshall, missouri, united states","12,511",12511
"franklin, kentucky, united states","12,498",12498
"hamilton, tennessee, united states","12,494",12494
"harriman, tennessee, united states","12,492",12492
"la crescenta, california, united states","12,490",12490
"henry, virginia, united states","12,482",12482
"martin, tennessee, united states","12,482",12482
"guyton, georgia, united states","12,479",12479
"dallas, north carolina, united states","12,476",12476
"temple, georgia, united states","12,474",12474
"ramsey, new jersey, united states","12,473",12473
"mastic, new york, united states","12,471",12471
"mena, arkansas, united states","12,470",12470
"jackson, ohio, united states","12,460",12460
"southampton, new york, united states","12,458",12458
"galion, ohio, united states","12,446",12446
"sayville, new york, united states","12,442",12442
"dillsburg, pennsylvania, united states","12,441",12441
"sahuarita, arizona, united states","12,439",12439
"santana de parnaíba, sao paulo, brazil","12,439",12439
"levelland, texas, united states","12,438",12438
"kendallville, indiana, united states","12,437",12437
"monmouth junction, new jersey, united states","12,429",12429
"chipley, florida, united states","12,423",12423
"basingstoke, hampshire, united kingdom","12,422",12422
"bohemia, new york, united states","12,419",12419
"new milford, new jersey, united states","12,413",12413
"north wilkesboro, north carolina, united states","12,412",12412
"deridder, louisiana, united states","12,408",12408
"nokomis, florida, united states","12,407",12407
"smithfield, rhode island, united states","12,405",12405
"caldas novas, goias, brazil","12,404",12404
"vanderbijlpark, gauteng, south africa","12,402",12402
"sarnia, ontario, canada","12,399",12399
"pella, iowa, united states","12,391",12391
"yulee, florida, united states","12,391",12391
"sharon, massachusetts, united states","12,386",12386
"lugoff, south carolina, united states","12,380",12380
"sparta, wisconsin, united states","12,380",12380
"travelers rest, south carolina, united states","12,380",12380
"itajuba, minas gerais, brazil","12,379",12379
"nizamabad, telangana, india","12,354",12354
"nanticoke, pennsylvania, united states","12,351",12351
"hillsdale, michigan, united states","12,341",12341
"raytown, missouri, united states","12,340",12340
"victor, new york, united states","12,340",12340
"berkeley heights, new jersey, united states","12,332",12332
"glenwood springs, colorado, united states","12,330",12330
"sangrur, punjab, india","12,318",12318
"washington, virginia, united states","12,318",12318
"hillsboro, missouri, united states","12,313",12313
"little river, south carolina, united states","12,307",12307
"east hanover, new jersey, united states","12,305",12305
"itaboraí, rio de janeiro, brazil","12,302",12302
"nantucket, massachusetts, united states","12,297",12297
"warrenville, illinois, united states","12,297",12297
"napoleon, ohio, united states","12,296",12296
"covington, tennessee, united states","12,295",12295
"atchison, kansas, united states","12,292",12292
"rosamond, california, united states","12,292",12292
"la vista, nebraska, united states","12,281",12281
"clermont, ohio, united states","12,279",12279
"new ulm, minnesota, united states","12,271",12271
"lincoln, illinois, united states","12,270",12270
"saint martinville, louisiana, united states","12,266",12266
"herriman, utah, united states","12,264",12264
"itaguaí, rio de janeiro, brazil","12,264",12264
"gardendale, alabama, united states","12,262",12262
"colchester, connecticut, united states","12,259",12259
"dhule, maharashtra, india","12,258",12258
"elk city, oklahoma, united states","12,257",12257
"lowell, michigan, united states","12,250",12250
"pickens, south carolina, united states","12,247",12247
"oviedo, asturias, spain","12,244",12244
"bellingham, massachusetts, united states","12,240",12240
"waterloo, illinois, united states","12,238",12238
"groves, texas, united states","12,228",12228
"barrington, rhode island, united states","12,207",12207
"blythewood, south carolina, united states","12,201",12201
"marble falls, texas, united states","12,199",12199
"iberia, louisiana, united states","12,194",12194
"serang, banten, indonesia","12,194",12194
"north adams, massachusetts, united states","12,182",12182
"dillon, south carolina, united states","12,178",12178
"monroe, wisconsin, united states","12,178",12178
"royse city, texas, united states","12,178",12178
"apollo beach, florida, united states","12,176",12176
"tigard, oregon, united states","12,174",12174
"altoona, iowa, united states","12,169",12169
"lynden, washington, united states","12,168",12168
"mashpee, massachusetts, united states","12,166",12166
"schererville, indiana, united states","12,165",12165
"ripley, tennessee, united states","12,164",12164
"sussex, wisconsin, united states","12,161",12161
"kota kinabalu, sabah, malaysia","12,160",12160
"whiteville, north carolina, united states","12,151",12151
"grafton, wisconsin, united states","12,149",12149
"alpine, california, united states","12,144",12144
"north east, maryland, united states","12,137",12137
"leesville, louisiana, united states","12,131",12131
"paris, kentucky, united states","12,125",12125
"rantoul, illinois, united states","12,125",12125
"horn lake, mississippi, united states","12,124",12124
"saint ann, missouri, united states","12,121",12121
"goshen, new york, united states","12,119",12119
"north attleboro, massachusetts, united states","12,118",12118
"cape canaveral, florida, united states","12,112",12112
"artesia, california, united states","12,110",12110
"cody, wyoming, united states","12,103",12103
"soddy daisy, tennessee, united states","12,095",12095
"eagan, minnesota, united states","12,091",12091
"bell gardens, california, united states","12,087",12087
"boulder city, nevada, united states","12,083",12083
"lockhart, texas, united states","12,079",12079
"auburn, georgia, united states","12,077",12077
"coachella, california, united states","12,067",12067
"bridgeview, illinois, united states","12,060",12060
"fairfield, new jersey, united states","12,057",12057
"hartwell, georgia, united states","12,056",12056
"hopkinton, massachusetts, united states","12,056",12056
"watertown, connecticut, united states","12,041",12041
"sandpoint, idaho, united states","12,039",12039
"ripon, california, united states","12,033",12033
"guntersville, alabama, united states","12,032",12032
"francisco morato, sao paulo, brazil","12,031",12031
"gloucester city, new jersey, united states","12,029",12029
"delmar, new york, united states","12,026",12026
"pacific grove, california, united states","12,021",12021
"harrison, new york, united states","12,020",12020
"la grande, oregon, united states","12,019",12019
"cedarburg, wisconsin, united states","12,018",12018
"riverdale, maryland, united states","12,018",12018
"nipomo, california, united states","12,014",12014
"piedmont, south carolina, united states","12,006",12006
"south hadley, massachusetts, united states","12,005",12005
"basildon, essex, united kingdom","12,004",12004
"jamestown, north dakota, united states","12,000",12000
"mountain top, pennsylvania, united states","12,000",12000
"benson, north carolina, united states","11,997",11997
"chickamauga, georgia, united states","11,993",11993
"dallas, pennsylvania, united states","11,991",11991
"bennettsville, south carolina, united states","11,989",11989
"cloquet, minnesota, united states","11,988",11988
"sandy, oregon, united states","11,987",11987
"porter, texas, united states","11,980",11980
"bluffton, indiana, united states","11,976",11976
"mcminnville, tennessee, united states","11,970",11970
"acadia, louisiana, united states","11,969",11969
"wilkesboro, north carolina, united states","11,961",11961
"southern pines, north carolina, united states","11,954",11954
"forest hill, maryland, united states","11,946",11946
"conneaut, ohio, united states","11,944",11944
"independence, kansas, united states","11,941",11941
"webb city, missouri, united states","11,941",11941
"erie, colorado, united states","11,938",11938
"monticello, minnesota, united states","11,938",11938
"tuscumbia, alabama, united states","11,933",11933
"coffeyville, kansas, united states","11,922",11922
"providence, utah, united states","11,921",11921
"crete, illinois, united states","11,919",11919
"roxbury, massachusetts, united states","11,919",11919
"andrews, texas, united states","11,912",11912
"madison, new jersey, united states","11,912",11912
"stoney creek, ontario, canada","11,911",11911
"somerset, massachusetts, united states","11,905",11905
"barra do garças, mato grosso, brazil","11,903",11903
"elberton, georgia, united states","11,894",11894
"ashland, massachusetts, united states","11,889",11889
"moraga, california, united states","11,889",11889
"belle vernon, pennsylvania, united states","11,886",11886
"brooklyn park, minnesota, united states","11,884",11884
"morrison, colorado, united states","11,883",11883
"saint simons island, georgia, united states","11,880",11880
"eufaula, alabama, united states","11,872",11872
"fort thomas, kentucky, united states","11,870",11870
"belton, south carolina, united states","11,866",11866
"cambé, parana, brazil","11,852",11852
"highland, illinois, united states","11,847",11847
"cheektowaga, new york, united states","11,840",11840
"princeton junction, new jersey, united states","11,840",11840
"la marque, texas, united states","11,838",11838
"pearl river, new york, united states","11,836",11836
"grove city, pennsylvania, united states","11,835",11835
"hadera, haifa, israel","11,829",11829
"nainital, uttarakhand, india","11,828",11828
"blanchard, oklahoma, united states","11,819",11819
"fredonia, new york, united states","11,816",11816
"kuna, idaho, united states","11,816",11816
"barre, vermont, united states","11,808",11808
"new hartford, new york, united states","11,806",11806
"geneva, ohio, united states","11,796",11796
"heath, ohio, united states","11,794",11794
"juazeiro, bahia, brazil","11,788",11788
"erie, new york, united states","11,787",11787
"corydon, indiana, united states","11,783",11783
"selma, north carolina, united states","11,783",11783
"williamsburg, kentucky, united states","11,781",11781
"bridgeport, west virginia, united states","11,778",11778
"keansburg, new jersey, united states","11,777",11777
"gurdaspur, punjab, india","11,775",11775
"carbondale, pennsylvania, united states","11,770",11770
"shelby, alabama, united states","11,770",11770
"paradise valley, arizona, united states","11,765",11765
"colchester, vermont, united states","11,758",11758
"park hills, missouri, united states","11,753",11753
"canton, north carolina, united states","11,752",11752
"weehawken, new jersey, united states","11,752",11752
"essex junction, vermont, united states","11,744",11744
"berkley, michigan, united states","11,740",11740
"clive, iowa, united states","11,734",11734
"helena, alabama, united states","11,733",11733
"ontario, new york, united states","11,721",11721
"robstown, texas, united states","11,716",11716
"glenolden, pennsylvania, united states","11,715",11715
"berlin, new jersey, united states","11,714",11714
"elkhorn, nebraska, united states","11,710",11710
"chestnut hill, massachusetts, united states","11,706",11706
"columbia, mississippi, united states","11,702",11702
"lathrop, california, united states","11,696",11696
"warrenton, missouri, united states","11,696",11696
"litchfield, connecticut, united states","11,695",11695
"pontianak, west kalimantan, indonesia","11,695",11695
"east islip, new york, united states","11,694",11694
"savannah, tennessee, united states","11,692",11692
"bridgeton, missouri, united states","11,687",11687
"fort morgan, colorado, united states","11,682",11682
"gatesville, texas, united states","11,680",11680
"monroe, connecticut, united states","11,679",11679
"taft, california, united states","11,678",11678
"atmore, alabama, united states","11,676",11676
"selinsgrove, pennsylvania, united states","11,675",11675
"portales, new mexico, united states","11,673",11673
"fort stewart, georgia, united states","11,666",11666
"muriaé, minas gerais, brazil","11,664",11664
"decorah, iowa, united states","11,659",11659
"erechim, rio grande do sul, brazil","11,657",11657
"burien, washington, united states","11,655",11655
"dewitt, michigan, united states","11,652",11652
"yavatmal, maharashtra, india","11,651",11651
"wyckoff, new jersey, united states","11,647",11647
"sao roque, sao paulo, brazil","11,641",11641
"amesbury, massachusetts, united states","11,640",11640
"east setauket, new york, united states","11,630",11630
"centerville, utah, united states","11,627",11627
"excelsior springs, missouri, united states","11,627",11627
"starke, florida, united states","11,624",11624
"cortez, colorado, united states","11,620",11620
"fairfax station, virginia, united states","11,620",11620
"godfrey, illinois, united states","11,616",11616
"haughton, louisiana, united states","11,613",11613
"saraland, alabama, united states","11,613",11613
"foster city, california, united states","11,611",11611
"parauapebas, para, brazil","11,611",11611
"collingswood, new jersey, united states","11,609",11609
"forrest city, arkansas, united states","11,604",11604
"rochester, indiana, united states","11,604",11604
"lowell, indiana, united states","11,601",11601
"middle village, new york, united states","11,601",11601
"parsons, kansas, united states","11,593",11593
"humboldt, tennessee, united states","11,591",11591
"idukki, kerala, india","11,591",11591
"vincentown, new jersey, united states","11,588",11588
"kutztown, pennsylvania, united states","11,581",11581
"brigantine, new jersey, united states","11,580",11580
"west milford, new jersey, united states","11,580",11580
"berlin, connecticut, united states","11,569",11569
"hereford, texas, united states","11,562",11562
"wauconda, illinois, united states","11,558",11558
"mira loma, california, united states","11,554",11554
"tromso, troms, norway","11,550",11550
"greenbrier, arkansas, united states","11,546",11546
"vail, arizona, united states","11,542",11542
"port lavaca, texas, united states","11,538",11538
"vermillion, south dakota, united states","11,536",11536
"tomah, wisconsin, united states","11,518",11518
"artesia, new mexico, united states","11,508",11508
"manlius, new york, united states","11,505",11505
"prince george, virginia, united states","11,505",11505
"leeds, alabama, united states","11,502",11502
"dusseldorf, nordrhein-westfalen, germany","11,500",11500
"susanville, california, united states","11,493",11493
"fort payne, alabama, united states","11,485",11485
"ellington, connecticut, united states","11,484",11484
"mary esther, florida, united states","11,477",11477
"queenstown, eastern cape, south africa","11,477",11477
"saint helens, oregon, united states","11,475",11475
"selah, washington, united states","11,475",11475
"bedford, pennsylvania, united states","11,474",11474
"birdsboro, pennsylvania, united states","11,465",11465
"kuching, sarawak, malaysia","11,454",11454
"cottage grove, oregon, united states","11,446",11446
"millbrook, alabama, united states","11,434",11434
"russellville, alabama, united states","11,431",11431
"claremont, new hampshire, united states","11,430",11430
"two rivers, wisconsin, united states","11,428",11428
"nagapattinam, tamil nadu, india","11,423",11423
"cairo, georgia, united states","11,421",11421
"cabo de santo agostinho, pernambuco, brazil","11,417",11417
"new haven, indiana, united states","11,415",11415
"chalmette, louisiana, united states","11,399",11399
"salem, indiana, united states","11,398",11398
"newark, new york, united states","11,387",11387
"camdenton, missouri, united states","11,382",11382
"kingston, tennessee, united states","11,382",11382
"longmeadow, massachusetts, united states","11,379",11379
"clinton, massachusetts, united states","11,378",11378
"eaton rapids, michigan, united states","11,377",11377
"winchester, california, united states","11,372",11372
"blythe, california, united states","11,369",11369
"new cumberland, pennsylvania, united states","11,362",11362
"fairhaven, massachusetts, united states","11,358",11358
"mount washington, kentucky, united states","11,357",11357
"beatrice, nebraska, united states","11,356",11356
"olivehurst, california, united states","11,354",11354
"ortonville, michigan, united states","11,352",11352
"kennett, missouri, united states","11,351",11351
"milwaukie, oregon, united states","11,349",11349
"maysville, kentucky, united states","11,339",11339
"spring lake, north carolina, united states","11,333",11333
"três lagoas, mato grosso do sul, brazil","11,333",11333
"valley village, california, united states","11,331",11331
"bryn mawr, pennsylvania, united states","11,324",11324
"washington, michigan, united states","11,324",11324
"jamestown, north carolina, united states","11,323",11323
"aosta, aosta valley, italy","11,322",11322
"safford, arizona, united states","11,314",11314
"wexford, pennsylvania, united states","11,309",11309
"navarra, navarre, spain","11,306",11306
"scituate, massachusetts, united states","11,303",11303
"dix hills, new york, united states","11,302",11302
"mohave, arizona, united states","11,298",11298
"berwyn, pennsylvania, united states","11,293",11293
"jennings, louisiana, united states","11,290",11290
"hebron, kentucky, united states","11,279",11279
"hazard, kentucky, united states","11,275",11275
"brewton, alabama, united states","11,272",11272
"newhall, california, united states","11,271",11271
"harrisonville, missouri, united states","11,269",11269
"toledo, parana, brazil","11,266",11266
"hewitt, texas, united states","11,265",11265
"belding, michigan, united states","11,263",11263
"sellersburg, indiana, united states","11,261",11261
"scottsburg, indiana, united states","11,259",11259
"jaú, sao paulo, brazil","11,257",11257
"quinlan, texas, united states","11,257",11257
"tetouan, tanger-tetouan-al hoceima, morocco","11,257",11257
"haledon, new jersey, united states","11,253",11253
"murphy, north carolina, united states","11,249",11249
"clinton, connecticut, united states","11,246",11246
"lowell, arkansas, united states","11,246",11246
"cayce, south carolina, united states","11,239",11239
"alexandria, kentucky, united states","11,238",11238
"roselle park, new jersey, united states","11,235",11235
"waynesburg, pennsylvania, united states","11,235",11235
"port coquitlam, british columbia, canada","11,233",11233
"excelsior, minnesota, united states","11,232",11232
"ottawa, illinois, united states","11,230",11230
"merrill, wisconsin, united states","11,229",11229
"bathinda, punjab, india","11,226",11226
"pawleys island, south carolina, united states","11,223",11223
"marion, south carolina, united states","11,222",11222
"makawao, hawaii, united states","11,214",11214
"port townsend, washington, united states","11,204",11204
"tatum, texas, united states","11,204",11204
"hyde park, new york, united states","11,202",11202
"windham, new hampshire, united states","11,201",11201
"baker, louisiana, united states","11,197",11197
"camillus, new york, united states","11,197",11197
"sobradinho, distrito federal, brazil","11,197",11197
"kenton, ohio, united states","11,196",11196
"cromwell, connecticut, united states","11,182",11182
"fresno, texas, united states","11,176",11176
"columbia, georgia, united states","11,171",11171
"belgrade, montana, united states","11,169",11169
"oskaloosa, iowa, united states","11,167",11167
"silver city, new mexico, united states","11,167",11167
"moundsville, west virginia, united states","11,166",11166
"cape may court house, new jersey, united states","11,159",11159
"foothill ranch, california, united states","11,157",11157
"nevada, missouri, united states","11,157",11157
"saint james, new york, united states","11,157",11157
"lavras, minas gerais, brazil","11,156",11156
"lake geneva, wisconsin, united states","11,150",11150
"jerome, idaho, united states","11,146",11146
"manhattan, new york, united states","11,146",11146
"grain valley, missouri, united states","11,142",11142
"norwich, new york, united states","11,134",11134
"big lake, minnesota, united states","11,133",11133
"gorham, maine, united states","11,132",11132
"alamo, california, united states","11,131",11131
"pontotoc, mississippi, united states","11,131",11131
"hampton bays, new york, united states","11,130",11130
"keizer, oregon, united states","11,129",11129
"merchantville, new jersey, united states","11,124",11124
"ganganagar, rajasthan, india","11,123",11123
"waunakee, wisconsin, united states","11,123",11123
"jasper, texas, united states","11,122",11122
"manasquan, new jersey, united states","11,122",11122
"fishkill, new york, united states","11,121",11121
"chanute, kansas, united states","11,120",11120
"hooksett, new hampshire, united states","11,108",11108
"schofield, wisconsin, united states","11,102",11102
"harnett, north carolina, united states","11,101",11101
"orrville, ohio, united states","11,101",11101
"stephens city, virginia, united states","11,095",11095
"chatham, new jersey, united states","11,094",11094
"santarem, para, brazil","11,093",11093
"kenton, kentucky, united states","11,088",11088
"samara, samara, russia","11,088",11088
"la palma, california, united states","11,086",11086
"skagit, washington, united states","11,085",11085
"tyrone, pennsylvania, united states","11,084",11084
"araguari, minas gerais, brazil","11,082",11082
"callahan, florida, united states","11,078",11078
"ningbo, zhejiang, china","11,072",11072
"middleboro, massachusetts, united states","11,071",11071
